#{"t_start": 1653767446.0846007, "env_id": "PointToRandomPoint-v0"}
r,l,t
-10339.774065,8001,2565.44806
-13219.14037,8001,2610.692132
-9471.743534,8001,2653.151595
-11327.557893,8001,2698.931373
-3805.369483,8001,2800.77866
-10305.031387,8001,2940.341263
-3827.505831,8001,3134.65331
-9473.468921,8001,3302.457246
-7653.073322,8001,3454.606288
-6169.604047,8001,3618.359588
-9409.754657,8001,3815.048701
-4602.612481,8001,3974.391723
-6214.740593,8001,4161.93383
-3544.404386,8001,4340.296901
-6559.522487,8001,4463.978079
-6146.44392,8001,4706.995548
-3906.211545,8001,4908.190343
-3389.858848,8001,5039.177424
-2978.833791,8001,5182.138111
-7107.883735,8001,5355.001114
-5730.973282,8001,5537.448548
-7422.038734,8001,31733.498216
-7229.865712,8001,31957.266654
-8398.45984,8001,32104.679934
-6600.326775,8001,32259.839476
-8663.882363,8001,32385.460841
-7778.155435,8001,32544.060085
-6969.358827,8001,32604.30665
-7101.821103,8001,32639.843104
-7830.484698,8001,32673.891113
-6738.899894,8001,32708.343474
-8840.719049,8001,32741.521908
-6111.77382,8001,32778.997706
-6389.876628,8001,32817.541898
-5938.20719,8001,32851.906569
-4948.419041,8001,32895.44205
-7934.870061,8001,32936.032755
-5756.185572,8001,32985.40395
-8138.587806,8001,33027.028813
-8896.129344,8001,33073.226729
-7577.55565,8001,33108.064657
-7515.601904,8001,33144.270728
-12100.138841,8001,33183.341034
-5709.370791,8001,33240.21646
-5721.279361,8001,33276.626661
-7690.536913,8001,33312.20773
-4967.754878,8001,33341.493128
-7579.982664,8001,33377.279771
-8244.595816,8001,33410.958072
-4262.108155,8001,33444.987615
-7898.803532,8001,33478.884527
-4942.183025,8001,33512.521792
-5285.084988,8001,33546.576826
-5500.199838,8001,33583.798848
-5629.580965,8001,33618.701482
-7447.644882,8001,33655.618358
-5721.183249,8001,33689.69237
-4476.958677,8001,33719.054042
-3849.729979,8001,33753.214503
-3978.417619,8001,33788.378541
-5414.999941,8001,33836.119984
-6772.244339,8001,33879.312221
-6289.082661,8001,33923.81233
-3746.504689,8001,33964.642781
-7675.374705,8001,34001.717438
-3530.805774,8001,34041.7419
-2378.519596,8001,34079.127133
-3895.428205,8001,34116.262838
-4706.774626,8001,34154.972387
-6275.156652,8001,34192.895545
-5395.165197,8001,34228.956657
-7227.712761,8001,34265.548268
-6931.73455,8001,34301.786849
-3714.223255,8001,34339.925254
-6156.720609,8001,34376.937728
-7683.351366,8001,34412.504344
-5902.104167,8001,34448.804079
-7497.01454,8001,34488.79683
-6861.146016,8001,34524.753834
-2455.551525,8001,34555.734469
-6916.024614,8001,34592.336805
-10176.497421,8001,34628.412246
-5404.831683,8001,34663.809872
-7532.02227,8001,34701.131907
-7794.398308,8001,34736.626722
-9905.393964,8001,34771.667665
-7584.841604,8001,34807.938649
-8724.810573,8001,34842.647212
-5954.683099,8001,34879.567401
-3376.550918,8001,34908.173605
-6210.549804,8001,34943.827565
-6530.391354,8001,34978.308997
-4768.810279,8001,35013.61512
-4552.117128,8001,35049.071399
-4077.080936,8001,35085.473186
-8928.426052,8001,35123.062856
-3445.741488,8001,35158.257163
-10076.511782,8001,35194.472382
-10069.610842,8001,35231.2355
-11409.217399,8001,35269.241853
-8588.748856,8001,35299.456406
-10455.563823,8001,35338.175298
-8090.613147,8001,35374.916229
-6005.212648,8001,35411.909893
-10154.128782,8001,35450.934475
-6387.209897,8001,35495.536676
-3922.550456,8001,35551.602755
-12042.802854,8001,35589.879943
-8054.539859,8001,35628.131419
-6290.278856,8001,35671.033383
-7947.437281,8001,35731.878875
-3022.05182,8001,35772.109393
-5686.709719,8001,35812.385413
-6490.769095,8001,35849.593547
-3777.26871,8001,35886.73132
-4323.178387,8001,35923.748912
-11212.751626,8001,35963.491176
-3782.507942,8001,36000.215992
-7393.922712,8001,36036.973295
-3117.298785,8001,36074.684373
-7712.268711,8001,36115.227098
-3477.369481,8001,36152.479273
-8632.872952,8001,36185.409956
-8425.790058,8001,36223.223333
-10775.840109,8001,36261.549216
-9979.14799,8001,36298.457756
-10137.3465,8001,36335.868005
-8563.021682,8001,36373.529816
-10216.497655,8001,36410.429314
-10883.301066,8001,36447.695197
-8764.85416,8001,36484.79196
-11662.341837,8001,36521.404985
-8871.592122,8001,36552.47132
-10609.97237,8001,36592.539918
-7812.821291,8001,36629.179963
-8748.01345,8001,36666.470267
-5099.976958,8001,36702.950101
-4657.50788,8001,36741.125189
-11986.825521,8001,36778.279929
-10632.087682,8001,36815.241129
-8889.988444,8001,36852.593752
-8662.478922,8001,36889.554028
-10097.759041,8001,36930.329565
-7676.604733,8001,36961.36623
-8846.448681,8001,36998.293
-7656.676762,8001,37035.548635
-9319.328797,8001,37073.606395
-6157.42168,8001,37110.081825
-7934.06279,8001,37147.590445
-11824.872844,8001,37184.528744
-5541.977515,8001,37221.661012
-10160.86185,8001,37258.430383
-8627.113484,8001,37296.191772
-6985.46301,8001,37333.664967
-8858.829038,8001,37365.134493
-9267.510435,8001,37402.9338
-6261.570189,8001,37440.075782
-5148.444448,8001,37477.403398
-6045.090007,8001,37514.26476
-6677.435998,8001,37552.307502
-3864.116707,8001,37589.570717
-9420.274936,8001,45667.823812
-7408.996304,8001,45712.655567
-11449.532686,8001,45775.347916
-4049.937778,8001,45808.976443
-6857.857626,8001,45868.713117
-5433.381172,8001,45916.120049
-8636.734407,8001,45963.685445
-7469.437996,8001,46009.302007
-6075.748938,8001,46057.173473
-8672.750677,8001,46106.733475
-8284.459873,8001,46154.128926
-8837.715586,8001,46202.433887
-8635.871559,8001,46248.791798
-6461.522628,8001,46295.872092
-6395.447014,8001,46335.903484
-4070.690041,8001,46383.417795
-8507.537013,8001,46430.858797
-7598.100812,8001,46480.495807
-8961.315374,8001,46528.670527
-8865.756815,8001,46580.701375
-8349.183783,8001,46630.699967
-6089.811005,8001,46680.21229
-5178.543412,8001,46734.309093
-11185.265559,8001,46787.028631
-10225.436376,8001,46836.383612
-8341.586114,8001,46876.773575
-10910.702128,8001,46928.167241
-12318.078896,8001,46975.852962
-6040.543283,8001,47025.087136
-9237.227865,8001,47073.802804
-6713.017761,8001,47121.36671
-9393.82107,8001,47172.047723
-5046.835165,8001,47229.372045
-8862.967331,8001,47285.946031
-12390.320959,8001,47348.635949
-8330.714672,8001,47407.036904
-8525.261086,8001,47450.23287
-5781.723643,8001,47497.657378
-4380.329703,8001,47543.410333
-9588.206959,8001,47600.978051
-6006.166326,8001,47643.726234
-5704.340765,8001,47680.790301
-7301.057693,8001,47717.283185
-7246.620746,8001,47755.679441
-8206.059225,8001,47796.106725
-5673.813581,8001,47833.316594
-5783.288291,8001,47864.624665
-6036.124446,8001,47900.959375
-6582.874679,8001,47939.775845
-4341.112946,8001,47978.333983
-3277.867502,8001,48021.433404
-5994.311261,8001,48059.573374
-6627.654964,8001,48099.057191
-7742.286898,8001,48138.758825
-9650.370665,8001,48177.046347
-6137.012667,8001,48234.053146
-9579.77225,8001,48270.865424
-4195.688579,8001,48301.313649
-6979.538488,8001,48345.505623
-5071.327857,8001,48383.888105
-4982.638848,8001,48420.084781
-6650.789272,8001,48460.092522
-5708.676,8001,48496.906673
-6438.962936,8001,48548.234441
-5017.957553,8001,48592.272948
-3941.383831,8001,48640.382242
-3976.92479,8001,48686.141568
-5481.618723,8001,48728.731686
-6929.362577,8001,48760.275364
-9242.650385,8001,48800.42565
-5400.433287,8001,48839.215696
-6060.78521,8001,48878.618591
-5010.712804,8001,48915.922314
-10962.97573,8001,48951.132257
-4997.568425,8001,48989.199224
-3357.289136,8001,49032.043244
-8691.473887,8001,49068.802203
-4031.735465,8001,49106.152357
-12399.227113,8001,49140.670074
-8736.131153,8001,49195.510086
-8306.906362,8001,49261.042162
-7416.320048,8001,49320.43729
-7027.233516,8001,49376.213044
-2757.061284,8001,49424.830741
-2098.979392,8001,49472.047931
-3425.966656,8001,49518.17988
-7964.447097,8001,49566.972458
-8255.969921,8001,49612.076061
-8963.260229,8001,49659.778336
-6980.313432,8001,49698.858177
-6492.455614,8001,49744.684183
-5632.93431,8001,49790.724622
-5619.225752,8001,49837.830149
-7305.748008,8001,49882.793411
-7472.050566,8001,49938.652184
-5757.439013,8001,49989.448457
-2788.991267,8001,50036.02339
-7064.041375,8001,50084.809427
-10769.318082,8001,50131.560362
-7315.815029,8001,50182.989981
-4533.3235,8001,50220.425135
-8272.819151,8001,50267.575644
-10056.617723,8001,50316.480643
-7249.377933,8001,50366.708282
-8152.737597,8001,50418.235787
-4611.637271,8001,50463.391706
-5726.762533,8001,50508.885839
-4220.185595,8001,50555.381186
-6740.572367,8001,50603.511706
-4147.641534,8001,50649.902367
-7220.432274,8001,50696.15406
-4487.821081,8001,50734.601835
-2382.727377,8001,50779.568431
-5113.242606,8001,50828.155635
-6825.127007,8001,50874.304611
-6572.630158,8001,50921.262215
-9270.118013,8001,50967.690068
-5921.263418,8001,51015.982026
-8451.956572,8001,51063.948103
-4458.121718,8001,51113.149514
-1113.330583,8001,51160.138545
-5979.353746,8001,51199.722482
-7441.767942,8001,51248.768273
-3452.02188,8001,51296.405158
-10017.023377,8001,51343.994246
-4734.164355,8001,51390.457105
-1587.296873,8001,51438.530614
-6716.226939,8001,51484.057328
-7882.326571,8001,51536.873049
-5599.661902,8001,51584.049909
-4538.440805,8001,51631.304422
-8088.819066,8001,51679.60014
-7947.347332,8001,51719.476377
-6393.892765,8001,51768.331813
-3307.790599,8001,51813.8459
-6798.794262,8001,51860.52087
-9491.052558,8001,51906.967898
-8609.859701,8001,51959.280178
-7231.508779,8001,52010.452651
-9099.847257,8001,52060.566801
-6953.585761,8001,52111.626908
-4508.516585,8001,52162.638881
-8564.801745,8001,52212.592227
-6034.45301,8001,52253.377184
