#{"t_start": 1653767446.0846007, "env_id": "PointToRandomPoint-v0"}
r,l,t
-10476.427207,8001,63.177713
-7613.049248,8001,90.78183
-7892.257368,8001,121.407007
-8039.234729,8001,149.701562
-7529.255793,8001,177.644485
-8279.869147,8001,205.480948
-4162.544824,8001,232.488874
-9558.892098,8001,259.054706
-5865.371898,8001,286.870432
-8996.641281,8001,316.166343
-5675.790565,8001,382.194777
-8454.869655,8001,411.398551
-9574.695307,8001,448.700444
-2692.552289,8001,484.936455
-10415.814389,8001,525.323056
-8592.24217,8001,560.243639
-6890.485505,8001,594.967344
-7810.903047,8001,627.874891
-8661.311484,8001,662.156973
-7488.001173,8001,696.664773
-9471.084112,8001,734.600574
-8539.781919,8001,767.85844
-12951.266332,8001,800.674508
-8535.562197,8001,833.732175
-11938.255321,8001,866.857831
-6966.18843,8001,900.557379
-13883.478361,8001,935.701801
-11282.757083,8001,969.527858
-11999.419819,8001,1003.381706
-8134.350375,8001,1037.984817
-8715.087256,8001,1073.174924
-13085.653882,8001,1106.206456
-15079.169585,8001,1136.27048
-13899.501651,8001,1169.39887
-14814.945424,8001,1205.027873
-10383.979808,8001,1238.6448
-9625.052681,8001,1271.565924
-11016.270762,8001,1305.179687
-10542.963735,8001,1338.765655
-12483.412885,8001,1373.376302
-8969.817154,8001,1408.316257
-13305.793399,8001,1445.698349
-10871.054105,8001,1474.460892
-14610.575001,8001,1508.247222
-13145.494373,8001,1542.224685
-7740.082351,8001,1576.00993
-13593.573478,8001,1609.998405
-9582.126378,8001,1644.839262
-10860.805682,8001,1680.037621
-11787.484224,8001,1717.477591
-12768.312346,8001,1751.854135
-10323.255104,8001,1787.50277
-8977.761214,8001,1823.260676
-13630.463269,8001,1853.556292
-15453.783367,8001,1890.125707
-7397.857593,8001,1930.797884
-13775.688315,8001,1969.062937
-13859.90752,8001,2006.812462
-14819.051159,8001,2044.241487
-12259.766525,8001,2082.041387
-8770.808192,8001,2123.788319
-7328.235668,8001,2181.033733
-15098.779879,8001,2239.867385
-11727.342137,8001,2282.686499
-5740.382039,8001,2312.371744
-13970.560721,8001,2345.753575
-10643.896969,8001,2377.182604
-12367.691428,8001,2410.764663
-13973.732882,8001,2449.729218
-9826.493856,8001,2484.401999
-12565.297886,8001,2518.556403
