#{"t_start": 1653770038.0430756, "env_id": "PointToRandomPoint-v0"}
r,l,t
-6404.81742,8001,225.906869
-9569.278518,8001,344.80268
-6439.969207,8001,512.714767
-10684.68722,8001,651.108896
-9181.304997,8001,775.869115
-12257.070701,8001,923.937783
-6848.822277,8001,1090.449359
-2023.783928,8001,1235.752341
-5585.190056,8001,1370.054386
-6795.362157,8001,1500.116641
-11826.869832,8001,1646.075915
-7900.929246,8001,1772.239431
-10799.917172,8001,1923.259173
-7903.566835,8001,2130.510938
-7344.412297,8001,2284.65528
-12834.728617,8001,2392.74723
-4958.55083,8001,2525.691812
-7582.358564,8001,2651.369112
-9981.391959,8001,2781.211514
-12037.739914,8001,2939.075239
-11958.104976,8001,29092.588468
-5366.485281,8001,29253.651266
-8274.431013,8001,29388.191492
-6148.349103,8001,29511.871352
-9619.615933,8001,29654.779225
-7739.715934,8001,29769.935782
-10428.60158,8001,29917.907281
