#{"t_start": 1653892035.9568565, "env_id": "PointToRandomPoint-v0"}
r,l,t
-6264.468977,8001,56.508909
-6841.655416,8001,92.34461
-5456.653022,8001,120.555794
-8371.917835,8001,147.790308
-6155.220091,8001,174.769984
-6771.957345,8001,205.137504
-7601.00928,8001,236.399216
-8134.773959,8001,263.907705
-8265.568343,8001,292.888196
-9776.322859,8001,321.696817
-8571.073862,8001,347.51323
-9521.09551,8001,376.938061
-9425.100202,8001,412.00712
-6888.730825,8001,443.126462
-10219.126881,8001,473.663907
-9540.75417,8001,519.360036
-6693.495201,8001,563.715566
-8499.42482,8001,591.205592
-8777.229787,8001,619.540654
-7926.243102,8001,647.060494
-4531.036297,8001,672.758239
-6931.475328,8001,696.82293
-9760.474501,8001,724.943729
-8871.174954,8001,753.231831
-7406.269031,8001,780.780071
-6051.363127,8001,809.321926
-8627.690782,8001,836.804747
-9904.635319,8001,865.599573
-6864.856978,8001,893.346838
-5412.865104,8001,920.88482
-5632.602503,8001,949.806589
-8670.890732,8001,977.961308
-9412.414427,8001,1001.697829
-7437.707339,8001,1030.699155
-5388.448963,8001,1058.016386
-5542.03797,8001,1085.861032
-6785.271482,8001,1112.945631
-7518.155126,8001,1139.568272
-7324.98922,8001,1166.858248
-7729.336966,8001,1193.220537
-7404.331632,8001,1220.447138
-6194.737309,8001,1247.524957
-5466.850438,8001,1270.062567
-3619.710205,8001,1296.832458
-7530.155901,8001,1324.146496
-3424.807626,8001,1350.363709
-6814.275512,8001,1377.72253
-9022.731807,8001,1405.336513
-5980.835343,8001,1432.118164
-7427.371299,8001,1459.968826
-8934.325945,8001,1494.203551
-3598.159661,8001,1522.892189
-7809.506337,8001,1551.144692
-9760.003293,8001,1575.268596
-3928.19643,8001,1605.549214
-3788.693961,8001,1640.576634
-5607.333051,8001,1674.903743
-5524.701071,8001,1704.66101
-4349.233847,8001,1736.574959
-4355.358717,8001,1770.226863
-7447.550911,8001,1800.811795
-7080.441393,8001,1830.645732
-5542.182172,8001,1861.057893
-10213.481861,8001,1891.424881
-3190.831709,8001,1917.263429
-6682.59565,8001,1949.212509
-5696.433439,8001,1980.156972
-4611.004215,8001,2011.601529
-7813.079607,8001,2043.861033
-2135.92121,8001,2076.35492
-2772.062683,8001,2110.101799
-5371.416445,8001,2142.766405
-6566.439252,8001,2175.677868
-2151.585702,8001,2210.16066
-6410.853943,8001,2245.246855
-6033.409623,8001,2289.837167
-4360.184704,8001,2349.936578
-2620.256297,8001,2394.623389
-5031.476885,8001,2436.53128
-2948.928031,8001,2477.96288
-5866.774825,8001,2516.993781
-4726.677257,8001,2557.096926
-5063.671285,8001,2596.293672
-5347.954169,8001,2637.197572
-3066.790837,8001,2679.141791
-8669.509586,8001,2715.176781
-2575.529538,8001,2758.225729
-6424.306174,8001,2799.300206
-4971.587166,8001,2839.934757
-4452.172025,8001,2879.991264
-7435.808939,8001,2922.984789
-5203.059293,8001,2966.215499
-7336.993147,8001,3007.584122
-4469.118767,8001,3050.325753
-6987.739533,8001,3091.23861
-5084.15472,8001,3132.796078
-4439.19313,8001,3171.545156
-9933.860188,8001,3215.695191
-6689.761693,8001,3257.751679
-2875.94619,8001,3300.089026
-5204.677158,8001,3340.170841
-7608.548766,8001,3383.066596
-3617.332419,8001,3425.094005
-6478.746127,8001,3467.355645
-9996.323905,8001,3509.26024
-7997.424366,8001,3551.396318
-3949.920165,8001,3593.998949
-4133.773173,8001,3629.120993
-8853.935529,8001,3669.70093
-3035.28879,8001,3710.219555
-3701.077273,8001,3755.617659
-8380.533489,8001,3793.371724
-8811.46165,8001,3838.244214
-8515.80934,8001,4011.087893
-6893.522113,8001,4069.328737
-6489.361492,8001,4135.810256
-4194.923121,8001,4231.33634
-3502.222128,8001,4344.848555
-4996.419951,8001,4455.518435
-7607.380527,8001,4591.117833
-1654.389172,8001,4718.800488
-4956.106698,8001,4869.348812
-5306.619316,8001,4963.674697
-7505.406602,8001,5051.647717
-5950.757991,8001,5115.671564
-3023.005199,8001,5173.529647
-7244.209751,8001,5290.082672
-8199.157032,8001,5460.415577
-6124.036201,8001,5547.272907
-10445.43794,8001,5685.652052
-2978.315241,8001,5838.133598
-5183.64392,8001,5990.707615
-3530.178382,8001,6151.705445
-9425.051938,8001,6276.353349
-9801.414661,8001,6354.780553
-7520.774507,8001,6417.390093
-5654.596396,8001,6472.859769
-5785.429846,8001,6526.031556
-11458.774028,8001,6681.372921
-6620.233719,8001,6794.152941
-7626.848132,8001,6967.457531
-4400.863036,8001,7125.614724
-12361.493803,8001,7307.644078
-7743.635392,8001,7402.851913
-9381.312769,8001,7440.183789
-6306.393325,8001,7479.563462
-7389.813699,8001,7512.883496
-5439.885681,8001,7546.887632
-9392.637724,8001,7580.294917
-4096.825239,8001,7615.370861
-6732.296095,8001,7645.398542
-8454.538435,8001,7680.092156
-8858.255033,8001,7714.353388
-8238.742422,8001,7748.551841
-8610.502519,8001,7782.077328
-5049.626027,8001,7815.784795
-6888.01965,8001,7850.572211
-5865.773118,8001,7885.077578
-12154.242575,8001,7919.820709
-5843.80973,8001,7956.065694
-9573.133864,8001,7983.148853
-5129.853245,8001,8018.107946
-8431.800355,8001,8052.582896
-5162.269518,8001,8086.188937
-9790.95787,8001,8120.716138
-8267.164071,8001,8154.759449
-7170.794999,8001,8189.600708
-8354.280576,8001,8224.3949
-5015.795633,8001,8259.163353
-9191.985329,8001,8292.483987
-7255.655875,8001,8327.010331
-5426.950798,8001,8356.006283
-6425.408524,8001,8389.825048
-9871.86482,8001,8424.30866
-10084.801604,8001,8459.513699
-2665.282711,8001,8494.637046
-7337.623945,8001,8531.332809
-5282.536665,8001,8564.716336
-10174.837766,8001,8601.185409
-3072.121241,8001,8636.830703
-6260.894713,8001,8671.306203
-7184.057626,8001,8708.081643
-4919.012864,8001,8738.114459
-8447.16824,8001,8774.063277
-10490.750592,8001,8809.614532
-3963.000958,8001,8844.393227
-9425.034972,8001,8879.920055
-8035.786927,8001,8918.210401
-8244.779702,8001,8954.05695
-7098.196017,8001,8989.859716
-9860.226773,8001,9025.883461
-10838.38814,8001,9061.227588
-6073.198674,8001,9098.627321
-6403.594633,8001,9128.392956
-8155.522934,8001,9164.074181
-3124.759069,8001,9200.665624
-7810.187593,8001,9236.989275
-3919.615811,8001,9273.348982
-9011.02314,8001,9312.369833
-7153.934163,8001,9349.637946
-7039.467256,8001,9386.47059
-9834.613441,8001,9423.403332
-7633.671085,8001,9461.171002
-5074.017173,8001,9492.644069
-3224.811112,8001,9529.507349
-7342.499489,8001,9565.482852
-9362.370386,8001,9602.424189
-3247.899902,8001,9640.25443
